,full_name,age_201718,birthday,league_201718,season_201718,position_201718,Current Club_201718,minutes_played_overall_201718,nationality_201718,appearances_overall_201718,goals_overall_201718,assists_overall_201718,penalty_goals_201718,penalty_misses_201718,clean_sheets_overall_201718,conceded_overall_201718,yellow_cards_overall_201718,red_cards_overall_201718,goals_involved_per_90_overall_201718,assists_per_90_overall_201718,goals_per_90_overall_201718,min_per_goal_overall_201718,conceded_per_90_overall_201718,min_per_conceded_overall_201718,min_per_match_201718,min_per_card_overall_201718,min_per_assist_overall_201718,cards_per_90_overall_201718,rank_in_league_top_attackers_201718,rank_in_league_top_midfielders_201718,rank_in_league_top_defenders_201718,rank_in_club_top_scorer_201718,age_201819,league_201819,season_201819,position_201819,Current Club_201819,minutes_played_overall_201819,nationality_201819,appearances_overall_201819,goals_overall_201819,assists_overall_201819,penalty_goals_201819,penalty_misses_201819,clean_sheets_overall_201819,conceded_overall_201819,yellow_cards_overall_201819,red_cards_overall_201819,goals_involved_per_90_overall_201819,assists_per_90_overall_201819,goals_per_90_overall_201819,min_per_goal_overall_201819,conceded_per_90_overall_201819,min_per_conceded_overall_201819,min_per_match_201819,min_per_card_overall_201819,min_per_assist_overall_201819,cards_per_90_overall_201819,rank_in_league_top_attackers_201819,rank_in_league_top_midfielders_201819,rank_in_league_top_defenders_201819,rank_in_club_top_scorer_201819,age_201920,league_201920,season_201920,position_201920,Current Club_201920,minutes_played_overall_201920,nationality_201920,appearances_overall_201920,goals_overall_201920,assists_overall_201920,penalty_goals_201920,penalty_misses_201920,clean_sheets_overall_201920,conceded_overall_201920,yellow_cards_overall_201920,red_cards_overall_201920,goals_involved_per_90_overall_201920,assists_per_90_overall_201920,goals_per_90_overall_201920,min_per_goal_overall_201920,conceded_per_90_overall_201920,min_per_conceded_overall_201920,min_per_match_201920,min_per_card_overall_201920,min_per_assist_overall_201920,cards_per_90_overall_201920,rank_in_league_top_attackers_201920,rank_in_league_top_midfielders_201920,rank_in_league_top_defenders_201920,rank_in_club_top_scorer_201920
42,Andrew Surman,34,524880000,Premier League,2017/2018,Midfielder,AFC Bournemouth,1852,England,25,2,5,0,0,5,26,2,0,0.34,0.24,0.1,926,1.26,71,74,926,370,0.1,147,41,-1,10,34.0,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438.0,England,18.0,0.0,0.0,0.0,0.0,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,2.19,41.0,80.0,719.0,0.0,0.13,359.0,379.0,-1.0,27.0,34.0,Premier League,2019/2020,Midfielder,AFC Bournemouth,233.0,England,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.32,39.0,47.0,233.0,0.0,0.39,-1.0,-1.0,-1.0,23.0
43,Andros Townsend,29,679622400,Premier League,2017/2018,Midfielder,Crystal Palace,3128,England,36,2,7,0,0,8,47,3,0,0.26,0.2,0.06,1564,1.35,67,87,1043,447,0.09,198,62,-1,8,29.0,Premier League,2018/2019,Midfielder,Crystal Palace,3018.0,England,38.0,6.0,4.0,0.0,0.0,12.0,44.0,1.0,0.0,0.3,0.12,0.18,503.0,1.31,69.0,79.0,3018.0,755.0,0.03,102.0,127.0,-1.0,3.0,29.0,Premier League,2019/2020,Midfielder,Crystal Palace,1290.0,England,24.0,1.0,1.0,0.0,0.0,7.0,22.0,0.0,0.0,0.14,0.07,0.07,1290.0,1.53,59.0,54.0,0.0,1290.0,0.0,192.0,186.0,-1.0,10.0
44,Andy Carroll,31,600048000,Premier League,2017/2018,Forward,West Ham United,745,England,16,3,0,0,0,5,11,7,1,0.36,0.0,0.36,248,1.33,68,47,106,0,0.85,38,313,-1,6,31.0,Premier League,2018/2019,Forward,West Ham United,454.0,England,12.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.19,76.0,38.0,227.0,0.0,0.4,270.0,326.0,-1.0,17.0,31.0,Premier League,2019/2020,Forward,Newcastle United,618.0,England,19.0,0.0,4.0,0.0,0.0,6.0,7.0,1.0,0.0,0.58,0.58,0.0,0.0,1.02,88.0,33.0,618.0,155.0,0.15,258.0,2.0,-1.0,20.0
45,Andy King,32,594086400,Premier League,2017/2018,Midfielder,Swansea City,1251,Wales,22,3,0,0,0,3,25,2,0,0.22,0.0,0.22,417,1.8,50,57,626,0,0.14,76,299,-1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Àngel Rangel Zaragoza,38,404611200,Premier League,2017/2018,Defender,Swansea City,155,Spain,4,0,0,0,0,1,3,0,0,0.0,0.0,0.0,0,1.74,52,39,0,0,0.0,-1,-1,-1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Angelo Ogbonna,32,580348800,Premier League,2017/2018,Defender,West Ham United,2880,Italy,32,1,0,0,0,7,56,3,0,0.03,0.0,0.03,2880,1.75,51,90,960,0,0.09,238,390,167,11,32.0,Premier League,2018/2019,Defender,West Ham United,1870.0,Italy,24.0,1.0,1.0,0.0,0.0,3.0,32.0,2.0,0.0,0.1,0.05,0.05,1870.0,1.54,58.0,78.0,935.0,1870.0,0.1,226.0,207.0,124.0,13.0,32.0,Premier League,2019/2020,Defender,West Ham United,2787.0,Italy,31.0,2.0,0.0,0.0,0.0,7.0,42.0,4.0,0.0,0.06,0.0,0.06,1394.0,1.36,66.0,90.0,697.0,0.0,0.13,214.0,293.0,105.0,10.0
48,Anthony Knockaert,29,690595200,Premier League,2017/2018,Midfielder,Brighton & Hove Albion,2425,France,33,3,1,0,0,10,28,5,1,0.15,0.04,0.11,808,1.04,87,73,404,2425,0.22,146,213,-1,4,29.0,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832.0,France,30.0,2.0,6.0,0.0,0.0,3.0,36.0,5.0,1.0,0.39,0.29,0.1,916.0,1.77,51.0,61.0,305.0,305.0,0.29,159.0,27.0,-1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Anthony Martial,25,818121600,Premier League,2017/2018,Forward,Manchester United,1583,France,30,9,5,1,0,15,13,1,0,0.8,0.28,0.51,176,0.74,122,53,1583,317,0.06,18,22,-1,3,25.0,Premier League,2018/2019,Forward,Manchester United,1623.0,France,27.0,10.0,2.0,1.0,0.0,5.0,25.0,2.0,0.0,0.67,0.11,0.55,162.0,1.39,65.0,60.0,812.0,812.0,0.11,13.0,141.0,-1.0,4.0,25.0,Premier League,2019/2020,Forward,Manchester United,2640.0,France,32.0,17.0,6.0,0.0,1.0,12.0,24.0,1.0,0.0,0.78,0.2,0.58,155.0,0.82,110.0,83.0,2640.0,440.0,0.03,16.0,54.0,-1.0,2.0
50,Antonio Martínez López,23,867628800,Premier League,2017/2018,Forward,West Ham United,0,Spain,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Antonio Rüdiger,27,731116800,Premier League,2017/2018,Defender,Chelsea,2336,Germany,27,2,1,0,0,13,21,4,0,0.12,0.04,0.08,1168,0.81,111,87,584,2336,0.15,174,216,26,9,27.0,Premier League,2018/2019,Defender,Chelsea,2874.0,Germany,33.0,1.0,0.0,0.0,0.0,12.0,34.0,7.0,0.0,0.03,0.0,0.03,2874.0,1.06,85.0,87.0,411.0,0.0,0.22,259.0,374.0,38.0,13.0,27.0,Premier League,2019/2020,Defender,Chelsea,1710.0,Germany,20.0,2.0,0.0,0.0,0.0,5.0,23.0,3.0,0.0,0.11,0.0,0.11,855.0,1.21,74.0,86.0,570.0,0.0,0.16,136.0,270.0,65.0,10.0
52,Antonio Valencia,35,491961600,Premier League,2017/2018,Defender,Manchester United,2743,Ecuador,31,3,1,0,0,15,22,7,0,0.13,0.03,0.1,914,0.72,125,88,392,2743,0.23,153,230,16,10,35.0,Premier League,2018/2019,Defender,Manchester United,466.0,Ecuador,6.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.97,93.0,78.0,233.0,0.0,0.39,300.0,256.0,29.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Arthur Masuaku,27,752630400,Premier League,2017/2018,Defender,West Ham United,1872,France,27,0,3,0,0,7,27,5,0,0.14,0.14,0.0,0,1.3,69,69,374,624,0.24,356,96,82,24,27.0,Premier League,2018/2019,Defender,West Ham United,1756.0,France,23.0,0.0,1.0,0.0,0.0,6.0,26.0,2.0,0.0,0.05,0.05,0.0,0.0,1.33,68.0,76.0,878.0,1756.0,0.1,368.0,203.0,89.0,25.0,27.0,Premier League,2019/2020,Defender,West Ham United,933.0,France,17.0,0.0,1.0,0.0,0.0,5.0,17.0,6.0,1.0,0.1,0.1,0.0,0.0,1.64,55.0,55.0,156.0,933.0,0.58,262.0,132.0,132.0,22.0
54,Artur Boruc,40,319852800,Premier League,2017/2018,Goalkeeper,AFC Bournemouth,0,Poland,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,40.0,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080.0,Poland,12.0,0.0,0.0,0.0,0.0,4.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.42,64.0,90.0,540.0,0.0,0.17,361.0,394.0,100.0,20.0,40.0,Premier League,2019/2020,Goalkeeper,AFC Bournemouth,0.0,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
55,Ashley Barnes,31,625708800,Premier League,2017/2018,Forward,Burnley,2157,England,36,9,0,0,0,12,20,10,0,0.38,0.0,0.38,240,0.83,108,60,216,0,0.42,33,263,-1,2,31.0,Premier League,2018/2019,Forward,Burnley,2400.0,England,37.0,12.0,2.0,2.0,0.0,8.0,34.0,8.0,0.0,0.53,0.08,0.45,200.0,1.28,71.0,65.0,300.0,1200.0,0.3,27.0,172.0,-1.0,1.0,31.0,Premier League,2019/2020,Forward,Burnley,1362.0,England,19.0,6.0,0.0,1.0,0.0,7.0,21.0,4.0,0.0,0.4,0.0,0.4,227.0,1.39,65.0,72.0,341.0,0.0,0.26,36.0,413.0,-1.0,3.0
56,Ashley Westwood,30,638928000,Premier League,2017/2018,Midfielder,Burnley,1106,England,19,0,1,0,0,5,15,2,0,0.08,0.08,0.0,0,1.22,74,58,553,1106,0.16,302,162,-1,18,30.0,Premier League,2018/2019,Midfielder,Burnley,2822.0,England,34.0,2.0,7.0,0.0,0.0,7.0,44.0,5.0,0.0,0.29,0.22,0.06,1411.0,1.4,64.0,83.0,564.0,403.0,0.16,212.0,55.0,-1.0,8.0,30.0,Premier League,2019/2020,Midfielder,Burnley,3150.0,England,35.0,2.0,6.0,0.0,0.0,15.0,37.0,9.0,0.0,0.23,0.17,0.06,1575.0,1.06,85.0,90.0,350.0,525.0,0.26,201.0,70.0,-1.0,6.0
57,Ashley Williams,36,462067200,Premier League,2017/2018,Defender,Everton,1833,Wales,24,1,0,0,0,6,30,4,1,0.05,0.0,0.05,1833,1.47,61,76,367,0,0.25,216,264,129,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ashley Young,35,489715200,Premier League,2017/2018,Midfielder,Manchester United,2447,England,30,2,4,0,0,12,25,7,0,0.22,0.15,0.07,1224,0.92,98,82,350,612,0.26,184,86,-1,11,35.0,Premier League,2018/2019,Midfielder,Manchester United,2568.0,England,30.0,2.0,2.0,0.0,0.0,4.0,41.0,10.0,1.0,0.14,0.07,0.07,1284.0,1.44,63.0,86.0,257.0,1284.0,0.35,195.0,181.0,-1.0,9.0,35.0,Premier League,2019/2020,Midfielder,Manchester United,954.0,England,12.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.85,106.0,80.0,191.0,0.0,0.47,389.0,403.0,-1.0,24.0
59,Asmir Begović,33,551145600,Premier League,2017/2018,Goalkeeper,AFC Bournemouth,3420,Bosnia and Herzegovina,38,0,0,0,0,6,56,2,0,0.0,0.0,0.0,0,1.47,61,90,1710,0,0.05,389,324,125,17,33.0,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160.0,Bosnia and Herzegovina,24.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,49.0,90.0,0.0,0.0,0.0,358.0,273.0,154.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Axel Tuanzebe,23,879465600,Premier League,2017/2018,Defender,Manchester United,0,England,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,Premier League,2019/2020,Defender,Manchester United,186.0,England,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,93.0,37.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,25.0
61,Aymeric Laporte,26,769996800,Premier League,2017/2018,Defender,Manchester City,807,France,9,0,0,0,0,4,5,1,0,0.0,0.0,0.0,0,0.56,161,90,807,0,0.11,272,262,7,14,26.0,Premier League,2018/2019,Defender,Manchester City,3057.0,France,35.0,3.0,3.0,0.0,0.0,18.0,21.0,3.0,0.0,0.18,0.09,0.09,1019.0,0.62,146.0,87.0,1019.0,1019.0,0.09,176.0,158.0,14.0,9.0,26.0,Premier League,2019/2020,Defender,Manchester City,1104.0,France,15.0,1.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,0.08,0.0,0.08,1104.0,0.41,221.0,74.0,1104.0,0.0,0.08,175.0,285.0,1.0,12.0
62,Ayoze Perez,27,743904000,Premier League,2017/2018,Forward,Newcastle United,2497,Spain,36,8,5,0,0,9,26,3,0,0.47,0.18,0.29,312,0.94,96,69,832,499,0.11,59,66,-1,1,27.0,Premier League,2018/2019,Forward,Newcastle United,2929.0,Spain,37.0,12.0,2.0,0.0,0.0,11.0,34.0,2.0,0.0,0.43,0.06,0.37,244.0,1.04,86.0,79.0,1465.0,1465.0,0.06,44.0,197.0,-1.0,1.0,27.0,Premier League,2019/2020,Forward,Leicester City,2019.0,Spain,33.0,8.0,4.0,1.0,0.0,12.0,23.0,0.0,0.0,0.53,0.18,0.36,252.0,1.03,88.0,61.0,0.0,505.0,0.0,45.0,66.0,-1.0,2.0
63,Bakary Sako,32,578016000,Premier League,2017/2018,Midfielder,Crystal Palace,468,Mali,16,3,0,0,0,3,10,0,0,0.58,0.0,0.58,156,1.92,47,29,0,0,0.0,12,317,-1,5,32.0,Premier League,2018/2019,Midfielder,Crystal Palace,25.0,Mali,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ben Chilwell,24,851126400,Premier League,2017/2018,Defender,Leicester City,1852,England,24,0,2,0,0,6,28,3,1,0.1,0.1,0.0,0,1.36,66,77,617,926,0.15,339,129,91,17,24.0,Premier League,2018/2019,Defender,Leicester City,3240.0,England,36.0,0.0,4.0,0.0,0.0,10.0,39.0,4.0,0.0,0.11,0.11,0.0,0.0,1.08,83.0,90.0,810.0,810.0,0.11,344.0,139.0,44.0,16.0,24.0,Premier League,2019/2020,Defender,Leicester City,2376.0,England,27.0,3.0,3.0,0.0,0.0,10.0,24.0,3.0,0.0,0.23,0.11,0.11,792.0,0.91,99.0,88.0,792.0,792.0,0.11,144.0,126.0,29.0,7.0
65,Ben Davies,27,735609600,Premier League,2017/2018,Defender,Tottenham Hotspur,2323,Wales,29,2,6,0,0,14,17,3,0,0.31,0.23,0.08,1162,0.66,137,80,774,387,0.12,175,44,11,6,27.0,Premier League,2018/2019,Defender,Tottenham Hotspur,1839.0,Wales,27.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.17,77.0,68.0,920.0,0.0,0.1,353.0,274.0,60.0,26.0,27.0,Premier League,2019/2020,Defender,Tottenham Hotspur,1432.0,Wales,18.0,0.0,0.0,0.0,0.0,5.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,1.13,80.0,80.0,239.0,0.0,0.38,284.0,394.0,55.0,19.0
66,Ben Foster,37,418176000,Premier League,2017/2018,Goalkeeper,West Bromwich Albion,3330,England,37,0,0,0,0,10,51,2,0,0.0,0.0,0.0,0,1.38,65,90,1665,0,0.05,355,335,99,18,37.0,Premier League,2018/2019,Goalkeeper,Watford,3420.0,England,38.0,0.0,0.0,0.0,0.0,7.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,60.0,90.0,3420.0,0.0,0.03,365.0,353.0,116.0,18.0,37.0,Premier League,2019/2020,Goalkeeper,Watford,3420.0,England,38.0,0.0,0.0,0.0,0.0,9.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,1.53,59.0,90.0,3420.0,0.0,0.03,398.0,368.0,123.0,17.0
67,Ben Hamer,33,564364800,Premier League,2017/2018,Goalkeeper,Leicester City,274,England,4,0,0,0,0,1,6,0,0,0.0,0.0,0.0,0,1.97,46,69,0,0,0.0,328,296,171,16,33.0,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553.0,England,7.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,28.0,79.0,0.0,0.0,0.0,327.0,348.0,175.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Ben Mee,31,622339200,Premier League,2017/2018,Defender,Burnley,2610,England,29,0,0,0,0,9,23,5,0,0.0,0.0,0.0,0,0.79,113,90,522,0,0.17,313,277,24,21,31.0,Premier League,2018/2019,Defender,Burnley,3420.0,England,38.0,0.0,2.0,0.0,0.0,8.0,57.0,9.0,0.0,0.05,0.05,0.0,0.0,1.5,60.0,90.0,380.0,1710.0,0.24,380.0,211.0,118.0,21.0,31.0,Premier League,2019/2020,Defender,Burnley,2880.0,England,32.0,1.0,1.0,0.0,0.0,13.0,43.0,7.0,0.0,0.06,0.03,0.03,2880.0,1.34,67.0,90.0,411.0,2880.0,0.22,253.0,244.0,98.0,9.0
69,Ben Watson,35,489715200,Premier League,2017/2018,Midfielder,Watford,458,England,8,0,0,0,0,1,9,1,0,0.0,0.0,0.0,0,1.77,51,57,458,0,0.2,345,284,-1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Beni Baningime,32,589766400,Premier League,2017/2018,Midfielder,Everton,192,Congo DR,8,0,0,0,0,4,2,1,0,0.0,0.0,0.0,0,0.94,96,24,192,0,0.47,-1,-1,-1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Premier League,2019/2020,Midfielder,Everton,0.0,Congo DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
71,Benik Afobe,27,729475200,Premier League,2017/2018,Forward,AFC Bournemouth,532,Congo DR,17,0,0,0,0,2,12,0,0,0.0,0.0,0.0,0,2.03,44,31,0,0,0.0,392,344,-1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Benjamin Johnson,20,948672000,Premier League,2017/2018,Forward,West Ham United,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,20.0,Premier League,2018/2019,Forward,West Ham United,63.0,England,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,63.0,63.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,26.0,20.0,Premier League,2019/2020,Forward,West Ham United,270.0,England,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,29.0
73,Benjamin Mendy,26,774403200,Premier League,2017/2018,Defender,Manchester City,361,France,7,0,1,0,0,5,1,2,0,0.25,0.25,0.0,0,0.25,361,52,181,361,0.5,288,35,3,18,26.0,Premier League,2018/2019,Defender,Manchester City,900.0,France,10.0,0.0,5.0,0.0,0.0,4.0,6.0,1.0,0.0,0.5,0.5,0.0,0.0,0.6,150.0,90.0,900.0,180.0,0.1,311.0,3.0,12.0,18.0,26.0,Premier League,2019/2020,Defender,Manchester City,1497.0,France,19.0,0.0,2.0,0.0,0.0,9.0,10.0,3.0,0.0,0.12,0.12,0.0,0.0,0.6,150.0,79.0,499.0,749.0,0.18,273.0,117.0,4.0,17.0
74,Benjamin Woodburn,21,939945600,Premier League,2017/2018,Forward,Liverpool,6,Wales,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0,6,0,0,0.0,-1,-1,-1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Beram Kayal,32,578534400,Premier League,2017/2018,Midfielder,Brighton & Hove Albion,739,Israel,19,0,0,0,0,3,14,2,0,0.0,0.0,0.0,0,1.71,53,39,370,0,0.24,254,319,-1,22,32.0,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934.0,Israel,18.0,1.0,1.0,0.0,0.0,5.0,15.0,4.0,0.0,0.19,0.1,0.1,934.0,1.45,62.0,52.0,234.0,934.0,0.39,163.0,146.0,-1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Bernardo Silva,26,776476800,Premier League,2017/2018,Midfielder,Manchester City,1519,Portugal,35,6,4,0,0,17,9,0,0,0.59,0.24,0.36,253,0.53,169,43,0,380,0.0,39,39,-1,7,26.0,Premier League,2018/2019,Midfielder,Manchester City,2853.0,Portugal,36.0,7.0,7.0,0.0,0.0,18.0,22.0,3.0,0.0,0.44,0.22,0.22,408.0,0.69,130.0,79.0,951.0,408.0,0.09,85.0,58.0,-1.0,5.0,26.0,Premier League,2019/2020,Midfielder,Manchester City,2029.0,Portugal,34.0,6.0,7.0,0.0,0.0,16.0,23.0,5.0,0.0,0.58,0.31,0.27,338.0,1.02,88.0,60.0,406.0,290.0,0.22,62.0,21.0,-1.0,6.0
77,Bojan,30,651801600,Premier League,2017/2018,Forward,Stoke City,72,Spain,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,1.25,72,72,0,0,0.0,-1,-1,-1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Brad Smith,26,765849600,Premier League,2017/2018,Defender,AFC Bournemouth,0,Australia,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Brahim Abdelkader Diaz,21,933638400,Premier League,2017/2018,Midfielder,Manchester City,50,Spain,5,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,1.8,50,10,0,0,0.0,-1,-1,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Bruno Martins Indi,28,697507200,Premier League,2017/2018,Defender,Stoke City,1244,Netherlands,17,0,0,0,0,3,26,3,0,0.0,0.0,0.0,0,1.88,48,73,415,0,0.22,295,322,169,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Bruno Saltor Grau,40,339206400,Premier League,2017/2018,Defender,Brighton & Hove Albion,2018,Spain,25,0,0,0,0,10,22,3,0,0.0,0.0,0.0,0,0.98,92,81,673,0,0.13,410,354,50,14,40.0,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136.0,Spain,14.0,0.0,1.0,0.0,0.0,4.0,17.0,2.0,0.0,0.08,0.08,0.0,0.0,1.35,67.0,81.0,568.0,1136.0,0.16,399.0,175.0,92.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Callum Hudson-Odoi,20,973555200,Premier League,2017/2018,Midfielder,Chelsea,27,England,2,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,3.33,27,14,0,0,0.0,-1,-1,-1,18,20.0,Premier League,2018/2019,Midfielder,Chelsea,391.0,England,10.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.23,0.23,0.0,0.0,1.15,78.0,39.0,0.0,391.0,0.0,277.0,54.0,-1.0,16.0,20.0,Premier League,2019/2020,Midfielder,Chelsea,851.0,England,22.0,1.0,5.0,0.0,0.0,7.0,13.0,1.0,0.0,0.63,0.53,0.11,851.0,1.37,65.0,39.0,851.0,170.0,0.11,147.0,4.0,-1.0,11.0
83,Callum Wilson,28,699148800,Premier League,2017/2018,Forward,AFC Bournemouth,1990,England,28,8,2,0,0,5,30,0,0,0.45,0.09,0.36,249,1.36,66,71,0,995,0.0,40,147,-1,1,28.0,Premier League,2018/2019,Forward,AFC Bournemouth,2535.0,England,30.0,14.0,9.0,1.0,1.0,9.0,44.0,3.0,0.0,0.82,0.32,0.5,181.0,1.56,58.0,85.0,845.0,282.0,0.11,17.0,16.0,-1.0,1.0,28.0,Premier League,2019/2020,Forward,AFC Bournemouth,2910.0,England,35.0,8.0,1.0,0.0,0.0,4.0,51.0,10.0,0.0,0.28,0.03,0.25,364.0,1.58,57.0,83.0,291.0,2910.0,0.31,73.0,247.0,-1.0,1.0
84,Calum Chambers,25,790560000,Premier League,2017/2018,Defender,Arsenal,869,England,12,0,0,0,0,3,13,1,0,0.0,0.0,0.0,0,1.35,67,72,869,0,0.1,259,314,90,19,25.0,Premier League,2018/2019,Defender,Fulham,2587.0,England,31.0,2.0,0.0,0.0,0.0,5.0,49.0,9.0,0.0,0.07,0.0,0.07,1294.0,1.7,53.0,83.0,287.0,0.0,0.31,198.0,399.0,143.0,5.0,25.0,Premier League,2019/2020,Defender,Arsenal,1103.0,England,14.0,1.0,1.0,0.0,0.0,3.0,15.0,5.0,0.0,0.16,0.08,0.08,1103.0,1.22,74.0,79.0,221.0,1103.0,0.41,178.0,159.0,66.0,17.0
85,Cameron Carter-Vickers,22,883526400,Premier League,2017/2018,Defender,Tottenham Hotspur,0,USA,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Carl Stewart,23,862531200,Premier League,2017/2018,Midfielder,Watford,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
